Date,Open,High,Low,Close,Adj Close,Volume
2021-05-31,32900.000000,33150.000000,32850.000000,33150.000000,29664.269531,645300
2021-06-02,33200.000000,34275.000000,33200.000000,33850.000000,30290.666016,1447300
2021-06-03,33850.000000,34000.000000,33100.000000,33600.000000,30066.953125,1459300
2021-06-04,33500.000000,33600.000000,33300.000000,33350.000000,29843.240234,867200
2021-06-07,33350.000000,33700.000000,33325.000000,33475.000000,29955.097656,583200
2021-06-08,33450.000000,33550.000000,32975.000000,33025.000000,29552.414063,773900
2021-06-09,33025.000000,33100.000000,32825.000000,32875.000000,29418.187500,963000
2021-06-10,33500.000000,34425.000000,33500.000000,33600.000000,30066.953125,1538200
2021-06-11,33800.000000,33850.000000,33525.000000,33600.000000,30066.953125,467700
2021-06-14,33600.000000,33950.000000,33450.000000,33900.000000,30335.406250,1403000
2021-06-15,33900.000000,35150.000000,33650.000000,34700.000000,31051.285156,2875600
2021-06-16,34725.000000,36225.000000,34725.000000,35650.000000,31901.394531,2739500
2021-06-17,35650.000000,36500.000000,35075.000000,36025.000000,32236.964844,2680700
2021-06-18,36025.000000,36650.000000,35350.000000,35750.000000,31990.878906,4049200
2021-06-21,35500.000000,36450.000000,34750.000000,36225.000000,32415.935547,1780200
2021-06-22,36500.000000,37800.000000,36275.000000,37500.000000,33556.867188,3253500
2021-06-23,37500.000000,38500.000000,37500.000000,37925.000000,33937.175781,2704300
2021-06-24,37925.000000,38600.000000,37350.000000,38275.000000,34250.375000,2601700
2021-06-25,38275.000000,39225.000000,38100.000000,38750.000000,34675.429688,2629900
2021-06-28,38750.000000,40950.000000,37900.000000,40750.000000,36465.128906,4517300
2021-06-29,40750.000000,43500.000000,40750.000000,43500.000000,38925.964844,9891900
2021-06-30,43550.000000,44750.000000,41600.000000,44200.000000,39552.363281,9463000
2021-07-01,44200.000000,44275.000000,43100.000000,44200.000000,39552.363281,6062900
2021-07-02,44200.000000,47250.000000,44050.000000,47250.000000,42281.652344,8423700
2021-07-05,47250.000000,47250.000000,43950.000000,43950.000000,39328.648438,3061400
2021-07-06,42950.000000,42950.000000,40875.000000,41425.000000,37069.152344,4539600
2021-07-07,41350.000000,42350.000000,40200.000000,40850.000000,36554.613281,1553500
2021-07-08,40000.000000,42900.000000,40000.000000,40575.000000,36308.531250,4852700
2021-07-09,40600.000000,41875.000000,40600.000000,41150.000000,36823.070313,2386600
2021-07-12,41500.000000,41925.000000,41325.000000,41775.000000,37382.351563,973400
2021-07-13,41900.000000,42875.000000,41150.000000,41550.000000,37181.007813,1660500
2021-07-14,41550.000000,41550.000000,40125.000000,40500.000000,36241.417969,1482000
2021-07-15,40500.000000,41000.000000,40350.000000,40700.000000,36420.386719,1386100
2021-07-16,40700.000000,40900.000000,40175.000000,40200.000000,35972.960938,2729500
2021-07-19,38500.000000,38500.000000,37400.000000,37400.000000,35781.617188,2417900
2021-07-21,37400.000000,37400.000000,35750.000000,35975.000000,34418.281250,3064300
2021-07-22,36000.000000,36800.000000,36000.000000,36250.000000,34681.378906,1191400
2021-07-23,36300.000000,36400.000000,35950.000000,36050.000000,34490.035156,1337200
2021-07-26,36400.000000,36425.000000,35425.000000,35525.000000,33987.753906,1195300
2021-07-27,35525.000000,35550.000000,34600.000000,34800.000000,33294.121094,1452700
2021-07-28,34800.000000,34900.000000,34300.000000,34300.000000,32815.761719,557100
2021-07-29,34500.000000,35000.000000,34100.000000,34825.000000,33318.042969,1512500
2021-07-30,34850.000000,34900.000000,32800.000000,32800.000000,31380.667969,4022400
2021-08-02,33700.000000,33800.000000,32600.000000,32700.000000,31284.996094,1428600
2021-08-03,32800.000000,33250.000000,32500.000000,33050.000000,31619.851563,1352100
2021-08-04,33300.000000,33325.000000,32600.000000,32725.000000,31308.914063,1246900
2021-08-05,32975.000000,33000.000000,32625.000000,32925.000000,31500.259766,624300
2021-08-06,32950.000000,33125.000000,32700.000000,32800.000000,31380.667969,715000
2021-08-09,32800.000000,33275.000000,32800.000000,32825.000000,31404.587891,1033600
2021-08-10,32825.000000,32975.000000,32500.000000,32575.000000,31165.404297,763600
2021-08-12,32750.000000,32900.000000,32525.000000,32900.000000,31476.341797,618300
2021-08-13,32950.000000,33000.000000,32525.000000,32600.000000,31189.322266,664800
2021-08-16,32625.000000,32725.000000,32150.000000,32250.000000,30854.468750,1161300
2021-08-18,32250.000000,32300.000000,30800.000000,30875.000000,29538.966797,3802000
2021-08-19,30875.000000,30900.000000,30175.000000,30200.000000,28893.177734,1621100
2021-08-20,30200.000000,30425.000000,29925.000000,30300.000000,28988.849609,1029800
2021-08-23,30450.000000,31850.000000,30450.000000,31775.000000,30400.023438,1575400
2021-08-24,31775.000000,32275.000000,31625.000000,32275.000000,30878.386719,798900
2021-08-25,32275.000000,32475.000000,32250.000000,32375.000000,30974.058594,522100
2021-08-26,32450.000000,32475.000000,32200.000000,32200.000000,30806.632813,285000
2021-08-27,32300.000000,32300.000000,31900.000000,31975.000000,30591.369141,344600
2021-08-30,32300.000000,32650.000000,32025.000000,32650.000000,31237.160156,907700
2021-08-31,32650.000000,33500.000000,32650.000000,33075.000000,31643.769531,1459000
2021-09-01,33075.000000,33700.000000,32950.000000,33350.000000,31906.869141,729500
2021-09-02,33350.000000,33500.000000,32300.000000,32600.000000,31189.322266,553000
2021-09-03,32650.000000,33175.000000,32050.000000,33100.000000,31667.687500,385100
2021-09-06,33100.000000,33350.000000,33075.000000,33075.000000,31643.769531,341100
2021-09-07,33075.000000,33275.000000,32800.000000,32850.000000,31428.505859,383800
2021-09-08,32850.000000,32950.000000,32200.000000,32350.000000,30950.140625,624100
2021-09-09,32350.000000,33550.000000,32200.000000,33550.000000,32098.214844,457500
2021-09-10,33500.000000,33500.000000,33000.000000,33150.000000,31715.523438,517400
2021-09-13,33050.000000,33050.000000,32300.000000,32400.000000,30997.976563,579600
2021-09-14,32400.000000,32700.000000,32400.000000,32500.000000,31093.650391,316900
2021-09-15,32475.000000,32500.000000,32000.000000,32000.000000,30615.287109,597400
2021-09-16,32000.000000,32350.000000,31875.000000,32350.000000,30950.140625,337700
2021-09-17,32300.000000,32300.000000,31850.000000,31850.000000,30471.777344,656700
2021-09-20,31850.000000,31900.000000,31475.000000,31900.000000,30519.615234,349200
2021-09-21,31900.000000,31900.000000,31425.000000,31450.000000,30089.085938,299000
2021-09-22,31450.000000,31775.000000,31400.000000,31400.000000,30041.250000,428400
